"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
218554,"event",964,1074,854
218555,"event",954,1074,834
218556,"event",874,994,764
218557,"event",824,954,714
218558,"event",764,874,684
218559,"event",594,654,534
218560,"event",594,644,524
218561,"event",544,614,474
218562,"event",494,574,374
218564,"event",464,584,334
218563,"event",234,364,104
218565,"event",194,324,74
218566,"event",174,294,64
218554,"bounds",NA,1324,614
218555,"bounds",NA,1304,604
218556,"bounds",NA,1244,514
218557,"bounds",NA,1214,454
218558,"bounds",NA,1054,504
218559,"bounds",NA,794,394
218560,"bounds",NA,774,394
218561,"bounds",NA,774,304
218562,"bounds",NA,784,164
218564,"bounds",NA,844,64
218563,"bounds",NA,584,-106
218565,"bounds",NA,554,-146
218566,"bounds",NA,514,-136
