"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
82072,"event",12600,12800,12300
82073,"event",13200,13400,13100
82074,"event",14600,14800,14400
82075,"event",15900,16700,15100
82076,"event",22400,23000,21800
82077,"event",27900,28800,27200
82078,"event",37500,38900,36200
82079,"event",43400,49200,37900
82080,"event",11900,12900,10800
82081,"event",16200,16600,15900
82082,"event",20200,20600,19800
82083,"event",24100,24300,23900
82084,"event",25300,25900,24700
82085,"event",26800,27400,26200
82086,"event",33200,34600,32000
82088,"event",11100,11300,10900
82089,"event",14700,15100,14300
82090,"event",16200,16500,15900
82091,"event",19800,20400,19300
82093,"event",20500,22000,18900
82092,"event",22800,27300,18300
82072,"bounds",NA,13200,11800
82073,"bounds",NA,13600,12900
82074,"bounds",NA,15100,14100
82075,"bounds",NA,18400,13400
82076,"bounds",NA,24500,20300
82077,"bounds",NA,30800,25200
82078,"bounds",NA,41400,33600
82079,"bounds",NA,58000,29100
82080,"bounds",NA,15200,8700
82081,"bounds",NA,17500,15000
82082,"bounds",NA,21500,18900
82083,"bounds",NA,24600,23600
82084,"bounds",NA,27200,23300
82085,"bounds",NA,28700,24900
82086,"bounds",NA,37100,29400
82088,"bounds",NA,11500,10600
82089,"bounds",NA,15600,13800
82090,"bounds",NA,17000,15400
82091,"bounds",NA,21600,18100
82093,"bounds",NA,24600,16400
82092,"bounds",NA,34400,11200
