"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
80214,"event",8004,8404,7614
80202,"event",2474,3134,1804
80213,"event",1314,1374,1274
80203,"event",1234,1424,1034
80204,"event",2314,3034,1594
80205,"event",3054,3924,2184
80206,"event",1184,1384,994
80207,"event",4924,7104,2744
80208,"event",4394,6084,2704
80209,"event",1824,1944,1724
80210,"event",4304,5874,2724
80211,"event",4294,5924,2654
80212,"event",1354,1424,1304
92027,"event",9094,9404,8774
92028,"event",10364,11044,9724
92029,"event",4464,4574,4354
92030,"event",8034,8204,7864
92031,"event",4924,5034,4824
92032,"event",1134,1214,1054
92033,"event",5404,5514,5284
92034,"event",4904,5014,4814
92035,"event",954,1074,834
80214,"bounds",NA,9044,6914
80202,"bounds",NA,4264,664
80213,"bounds",NA,1464,1184
80203,"bounds",NA,1744,724
80204,"bounds",NA,4244,374
80205,"bounds",NA,5244,864
80206,"bounds",NA,1684,684
80207,"bounds",NA,10494,-646
80208,"bounds",NA,8664,114
80209,"bounds",NA,2184,1484
80210,"bounds",NA,8364,244
80211,"bounds",NA,8654,-96
80212,"bounds",NA,1564,1154
92027,"bounds",NA,9784,8384
92028,"bounds",NA,12464,8324
92029,"bounds",NA,4844,4084
92030,"bounds",NA,8514,7554
92031,"bounds",NA,5284,4574
92032,"bounds",NA,1364,904
92033,"bounds",NA,5764,5024
92034,"bounds",NA,5254,4574
92035,"bounds",NA,1344,574
