"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
82010,"event",13500,13700,13300
82011,"event",14600,14900,14400
82012,"event",16200,16500,15900
82013,"event",19800,20600,19000
82014,"event",23400,24200,22700
82015,"event",24700,25200,24200
82016,"event",27000,27400,26700
82017,"event",3600,4500,2800
82018,"event",6600,7100,6200
82019,"event",14600,15700,13500
82020,"event",17200,18700,15800
82021,"event",21200,22700,19800
82022,"event",1400,1600,1300
82010,"bounds",NA,14100,13000
82011,"bounds",NA,15100,14200
82012,"bounds",NA,17100,15400
82013,"bounds",NA,22400,17300
82014,"bounds",NA,26000,20900
82015,"bounds",NA,25900,23500
82016,"bounds",NA,28000,26000
82017,"bounds",NA,5900,1300
82018,"bounds",NA,8000,5300
82019,"bounds",NA,17600,11700
82020,"bounds",NA,21500,13100
82021,"bounds",NA,25700,16900
82022,"bounds",NA,2000,800
