"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
81514,"event",5384,5804,4964
81517,"event",6174,6434,5924
81519,"event",6434,6894,5984
81520,"event",6624,6864,6394
81522,"event",7624,7914,7364
81524,"event",8474,8784,8194
81526,"event",8884,9274,8524
81527,"event",9024,9294,8744
81530,"event",1154,1314,984
81535,"event",10424,10534,10324
81537,"event",2034,2304,1764
92095,"event",2974,3244,2734
81539,"event",4814,4904,4714
92096,"event",374,504,234
81528,"event",9074,9264,8864
81523,"event",7654,7844,7464
81532,"event",9454,9514,9364
81531,"event",9284,9434,9114
92097,"event",12854,13034,12674
81514,"bounds",NA,6494,4254
81517,"bounds",NA,6984,5364
81519,"bounds",NA,7814,5064
81520,"bounds",NA,7384,5884
81522,"bounds",NA,8434,6854
81524,"bounds",NA,9394,7584
81526,"bounds",NA,10014,7774
81527,"bounds",NA,9814,8224
81530,"bounds",NA,1664,644
81535,"bounds",NA,10674,10184
81537,"bounds",NA,2844,1224
92095,"bounds",NA,3784,2174
81539,"bounds",NA,5064,4574
92096,"bounds",NA,794,-56
81528,"bounds",NA,9664,8464
81523,"bounds",NA,8234,7074
81532,"bounds",NA,9614,9254
81531,"bounds",NA,9734,8824
92097,"bounds",NA,13394,12314
