"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
84860,"event",9044,9144,8944
84862,"event",9164,9394,8934
84863,"event",7074,7324,6814
84864,"event",9414,9474,9334
84865,"event",9534,9784,9294
84868,"event",7064,7154,6984
84869,"event",7414,7534,7284
84870,"event",7644,7764,7544
84871,"event",8044,8314,7804
84872,"event",8054,8124,8004
84873,"event",4634,4814,4454
84875,"event",4944,5174,4734
84877,"event",8564,8664,8474
84878,"event",5534,5574,5504
84879,"event",6404,6534,6274
84881,"event",5414,5954,4864
84860,"bounds",NA,9344,8734
84862,"bounds",NA,9854,8464
84863,"bounds",NA,7844,6304
84864,"bounds",NA,9564,9224
84865,"bounds",NA,10304,8764
84868,"bounds",NA,7264,6874
84869,"bounds",NA,7784,7034
84870,"bounds",NA,8014,7284
84871,"bounds",NA,8844,7264
84872,"bounds",NA,8194,7934
84873,"bounds",NA,5184,4084
84875,"bounds",NA,5614,4284
84877,"bounds",NA,8824,8344
84878,"bounds",NA,5614,5464
84879,"bounds",NA,6824,5984
84881,"bounds",NA,7054,3764
