"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
81093,"event",644,664,614
92007,"event",624,714,544
92008,"event",624,774,474
92009,"event",624,714,524
92010,"event",614,694,534
92011,"event",604,684,524
92012,"event",604,704,504
92013,"event",604,674,524
92014,"event",584,684,484
92015,"event",544,584,504
92016,"event",924,1064,794
92017,"event",794,914,694
92018,"event",624,714,524
92019,"event",614,714,524
92020,"event",604,734,464
92021,"event",524,624,394
92022,"event",384,444,314
81093,"bounds",NA,704,574
92007,"bounds",NA,904,354
92008,"bounds",NA,1124,114
92009,"bounds",NA,944,294
92010,"bounds",NA,894,334
92011,"bounds",NA,854,354
92012,"bounds",NA,944,264
92013,"bounds",NA,834,364
92014,"bounds",NA,924,244
92015,"bounds",NA,644,454
92016,"bounds",NA,1344,524
92017,"bounds",NA,1154,454
92018,"bounds",NA,944,304
92019,"bounds",NA,924,304
92020,"bounds",NA,1054,144
92021,"bounds",NA,854,174
92022,"bounds",NA,524,234
