"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
151823,"event",1100,1200,900
151833,"event",1300,1400,1100
151837,"event",25100,38500,11800
151835,"event",23200,36100,10300
151851,"event",3400,3500,3200
151850,"event",4700,4800,4500
151836,"event",27800,39500,16000
151838,"event",28200,40000,16500
151824,"event",9000,9300,8800
151834,"event",17300,17600,17100
151840,"event",32500,39000,25900
151854,"event",17200,22700,11700
151841,"event",33800,38000,29600
151829,"event",33300,33800,32700
151844,"event",40900,44100,37900
151860,"event",42400,46000,39000
151842,"event",44500,49100,40200
151832,"event",43200,45600,40800
151864,"event",40200,41100,39200
151862,"event",41500,42400,40600
151846,"event",45300,48200,43200
151839,"event",12000,12200,11800
151825,"event",5200,5400,5000
151826,"event",13800,14100,13500
151827,"event",13900,14100,13700
151828,"event",14700,15000,14400
151830,"event",32600,33100,32000
151831,"event",43300,44100,42700
151823,"bounds",NA,1700,400
151833,"bounds",NA,1800,700
151837,"bounds",NA,59800,-9400
151835,"bounds",NA,56800,-11100
151851,"bounds",NA,3900,2900
151850,"bounds",NA,5300,4100
151836,"bounds",NA,58000,-2100
151838,"bounds",NA,58800,-2100
151824,"bounds",NA,9800,8200
151834,"bounds",NA,18100,16600
151840,"bounds",NA,49500,15000
151854,"bounds",NA,31700,2600
151841,"bounds",NA,45200,22400
151829,"bounds",NA,35000,31500
151844,"bounds",NA,49500,32300
151860,"bounds",NA,52600,32600
151842,"bounds",NA,57900,32000
151832,"bounds",NA,49700,36600
151864,"bounds",NA,43200,37100
151862,"bounds",NA,44400,38600
151846,"bounds",NA,53500,38100
151839,"bounds",NA,12800,11200
151825,"bounds",NA,5900,4500
151826,"bounds",NA,14900,12800
151827,"bounds",NA,14600,13200
151828,"bounds",NA,15700,13800
151830,"bounds",NA,34300,30800
151831,"bounds",NA,45500,41300
