"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
80190,"event",4012,5527,2497
513741,"event",767,817,722
513742,"event",887,972,812
513743,"event",1307,1367,1242
513744,"event",192,292,92
513745,"event",772,817,742
513746,"event",777,822,737
513747,"event",827,887,767
513748,"event",762,777,747
513749,"event",487,682,292
513750,"event",837,882,792
513751,"event",907,937,872
513752,"event",787,877,712
513753,"event",877,937,817
513754,"event",722,752,692
513755,"event",577,707,432
513756,"event",862,907,832
513757,"event",757,772,737
513758,"event",767,902,667
80190,"bounds",NA,8062,-48
513741,"bounds",NA,912,637
513742,"bounds",NA,1147,642
513743,"bounds",NA,1512,1097
513744,"bounds",NA,482,-93
513745,"bounds",NA,902,677
513746,"bounds",NA,902,662
513747,"bounds",NA,997,657
513748,"bounds",NA,797,727
513749,"bounds",NA,992,-28
513750,"bounds",NA,927,732
513751,"bounds",NA,987,807
513752,"bounds",NA,1022,562
513753,"bounds",NA,1042,702
513754,"bounds",NA,792,657
513755,"bounds",NA,1027,117
513756,"bounds",NA,937,797
513757,"bounds",NA,797,707
513758,"bounds",NA,1152,417
