"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
151837,"event",25096,38282,11876
151833,"event",1222,1267,1182
151844,"event",40887,43952,37882
151832,"event",43122,45432,40822
151864,"event",40142,41017,39182
151860,"event",42387,45942,38962
151829,"event",41202,46687,35737
151846,"event",45272,48142,43192
151836,"event",27722,39352,16122
151841,"event",33707,37852,29572
151840,"event",32337,38742,25932
151854,"event",18637,23732,13542
151838,"event",28306,40042,16542
151825,"event",19102,28747,9472
151835,"event",23118,35742,10478
151842,"event",44512,49042,40147
151850,"event",7817,9712,5927
151823,"event",1027,1107,952
151834,"event",17267,17447,17107
151851,"event",3337,3382,3277
151862,"event",41442,42237,40587
151830,"event",32507,32992,32047
151831,"event",43277,44027,42687
151828,"event",14682,14907,14467
151826,"event",13767,14012,13562
151827,"event",13892,14017,13762
151824,"event",8972,9117,8807
151839,"event",11907,12047,11787
513796,"event",49137,51892,46602
151837,"bounds",NA,59252,-8988
151833,"bounds",NA,1342,1102
151844,"bounds",NA,49267,32427
151832,"bounds",NA,49382,36767
151864,"bounds",NA,43017,37142
151860,"bounds",NA,52497,32662
151829,"bounds",NA,56862,25992
151846,"bounds",NA,53547,38107
151836,"bounds",NA,57662,-1883
151841,"bounds",NA,45022,22392
151840,"bounds",NA,49137,15217
151854,"bounds",NA,31642,5627
151838,"bounds",NA,58822,-2143
151825,"bounds",NA,43507,-5408
151835,"bounds",NA,55772,-10318
151842,"bounds",NA,57892,31912
151850,"bounds",NA,12867,2782
151823,"bounds",NA,1277,787
151834,"bounds",NA,17842,16727
151851,"bounds",NA,3492,3172
151862,"bounds",NA,44037,38802
151830,"bounds",NA,33942,31102
151831,"bounds",NA,45287,41412
151828,"bounds",NA,15302,14067
151826,"bounds",NA,14472,13097
151827,"bounds",NA,14282,13497
151824,"bounds",NA,9442,8492
151839,"bounds",NA,12387,11447
513796,"bounds",NA,56432,42057
