"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
80214,"event",8007,8397,7612
80202,"event",2472,3132,1807
80213,"event",1317,1362,1272
80203,"event",1217,1392,1037
80204,"event",2307,3027,1592
80205,"event",3042,3817,2262
80206,"event",3917,5437,2397
80207,"event",4927,7102,2757
80208,"event",4392,5957,2832
80209,"event",1827,1942,1722
80210,"event",4302,5877,2727
80211,"event",4287,5897,2672
80212,"event",1352,1422,1292
92027,"event",9092,9417,8772
92028,"event",10362,11077,9697
92029,"event",4467,4572,4352
92030,"event",8032,8202,7867
92031,"event",4922,5032,4822
92032,"event",1132,1212,1057
92033,"event",5402,5507,5292
92034,"event",4902,5022,4802
92035,"event",952,1072,832
80214,"bounds",NA,9027,6932
80202,"bounds",NA,4257,672
80213,"bounds",NA,1452,1187
80203,"bounds",NA,1682,757
80204,"bounds",NA,4232,382
80205,"bounds",NA,5032,1062
80206,"bounds",NA,7817,57
80207,"bounds",NA,10472,-623
80208,"bounds",NA,8407,372
80209,"bounds",NA,2182,1487
80210,"bounds",NA,8357,252
80211,"bounds",NA,8592,-38
80212,"bounds",NA,1582,1137
92027,"bounds",NA,9827,8352
92028,"bounds",NA,12627,8162
92029,"bounds",NA,4842,4087
92030,"bounds",NA,8517,7557
92031,"bounds",NA,5292,4562
92032,"bounds",NA,1357,907
92033,"bounds",NA,5737,5052
92034,"bounds",NA,5297,4527
92035,"bounds",NA,1322,592
